llm_model,embedding_model,chunk_size,answer_relevancy_score,average_score
llama3-chatqa:8b,jina-embeddings-v2-base-de,32,0.9772727272727273,0.9772727272727273
gemma3:12b,jina-embeddings-v2-base-de,64,0.9772727272727273,0.9772727272727273
llama3-chatqa:8b,jina-embeddings-v2-base-de,8,0.9772727272727273,0.9772727272727273
gemma3:12b,paraphrase-multilingual-MiniLM-L12-v2,64,0.9772727272727273,0.9772727272727273
gemma3:12b,paraphrase-multilingual-MiniLM-L12-v2,32,0.9696969696969696,0.9696969696969696
gemma3:12b,jina-embeddings-v2-base-de,32,0.9696969696969696,0.9696969696969696
gemma3:12b,jina-embeddings-v2-base-de,4,0.9363636363636364,0.9363636363636364
llama3-chatqa:8b,jina-embeddings-v2-base-de,16,0.9333333333333332,0.9333333333333332
gemma3:12b,jina-embeddings-v2-base-de,8,0.9253246753246753,0.9253246753246753
gemma3:12b,jina-embeddings-v2-base-de,16,0.9253246753246753,0.9253246753246753
gemma3:12b,paraphrase-multilingual-MiniLM-L12-v2,16,0.9253246753246753,0.9253246753246753
llama3-chatqa:8b,jina-embeddings-v2-base-de,64,0.9090909090909091,0.9090909090909091
gemma3:12b,jina-embeddings-v2-base-de,128,0.9090909090909091,0.9090909090909091
gemma3:12b,paraphrase-multilingual-MiniLM-L12-v2,128,0.9090909090909091,0.9090909090909091
llama3-chatqa:8b,jina-embeddings-v2-base-de,128,0.9090909090909091,0.9090909090909091
gemma3:12b,paraphrase-multilingual-MiniLM-L12-v2,4,0.8454545454545456,0.8454545454545456
gemma3:12b,paraphrase-multilingual-MiniLM-L12-v2,8,0.8409090909090909,0.8409090909090909
llama3-chatqa:8b,jina-embeddings-v2-base-de,4,0.7818181818181817,0.7818181818181817
